"name","pubCode","description","startDate","endDate"
"samplingImpractical","high water velocity","high water velocity",2012-01-01,NA
"samplingImpractical","staff gauge disturbed","staff gauge disturbed",2012-01-01,NA
"samplingImpractical","staff gauge not installed","staff gauge not installed",2012-01-01,NA
"samplingImpractical","OK","OK",2012-01-01,NA
"samplingImpractical","coordinates not suitable","Maximum number of attempts made to sample within a subplot were unsuccessful",2012-01-01,NA
"samplingImpractical","location flooded","location flooded",2012-01-01,NA
"samplingImpractical","logistical","logistical",2012-01-01,NA
"samplingImpractical","management","management",2012-01-01,NA
"samplingImpractical","extreme weather","extreme weather",2012-01-01,NA
"samplingImpractical","location burned","location burned",2012-01-01,NA
"samplingImpractical","temperature low","temperature low",2012-01-01,NA
"samplingImpractical","temperature high","temperature high",2012-01-01,NA
"samplingImpractical","disturbance","samples not collected due to disturbance",2012-01-01,NA
"samplingImpractical","too windy","too windy",2012-01-01,NA
"samplingImpractical","horizon not present","horizon not present in the incubated soil sample",2012-01-01,NA
"samplingImpractical","location wet","location too wet due to rain or dew",2012-01-01,NA
"samplingImpractical","not all samples collected on this date","not all samples collected on this date",2012-01-01,2022-12-31
"samplingImpractical","exclosure cell not clipped, livestock absent","exclosure clip cell not harvested, cattle absent during previous grazing interval",2012-01-01,NA
"samplingImpractical","ambient cell not clipped, livestock absent","ambient clip cell not harvested, cattle absent during previous grazing interval",2012-01-01,NA
"samplingImpractical","wildfire","sampling location inaccessible due to active wildfire or post fire safety hazards",2012-01-01,NA
"samplingImpractical","wildlife hazard","wildlife hazard, specific hazard described in remarks",2012-01-01,NA
"samplingImpractical","safety hazard","unsafe conditions at sampling location or on route to sampling location",2012-01-01,NA
"samplingImpractical","outside target flow range","selected when stream flow already has good coverage and specific flows are being targeted",2022-03-01,NA
"samplingImpractical","onshore protocols only","sampling not required when only onshore protocols are scheduled",2012-01-01,NA
"samplingImpractical","night fishing","sampling not required when night fishing",2012-01-01,NA
"samplingImpractical","obstruction","sample not collected due to an obstruction in sampling area",2012-01-01,NA
"samplingImpractical","location vulnerable to planned sampling","location vulnerable to excessive technician impacts during planned sampling",2012-01-01,NA
"sls.boutType","biogeochemistry","Biogeochemistry sampling",2012-01-01,NA
"sls.boutType","microbes","Microbe sampling",2012-01-01,NA
"sls.boutType","microbesBGC","Microbe and biogeochemistry sampling",2012-01-01,NA
"sls.boutType","microbesBiomass","Microbes and biomass sampling",2012-01-01,NA
"sls.boutType","microbesBiomassBGC","Microbes, biomass, and biogeochemistry sampling",2012-01-01,NA
"sls.boutType","fieldOnly","Sampling not in conjunction with microbes, biomass or biogeochemistry",2012-01-01,NA
"sls.geneticArchiveContainer","5 mL vial","5 mL vial used to contain genetic archive soil material",2012-01-01,NA
"sls.geneticArchiveContainer","2 mL vial","2 mL vial used to contain genetic archive soil material",2012-01-01,NA
"sls.geneticPreparation","dry ice","Dry ice used to flash-freeze specimen following field collection",2012-01-01,NA
"sls.geneticPreparation","ice packs","Ice packs used to freeze specimen following field collection",2012-01-01,NA
"sls.geneticPreparation","ultra-cold ice packs","Ice packs frozen in the -80 freezer used to freeze specimen following field collection",2012-01-01,NA
"sls.geneticPreparation","other","Other method used to preserve specimen following field collection",2012-01-01,NA
"sls.geneticSampleCondition","cold chain broken","Cold chain broken",2012-01-01,NA
"sls.geneticSampleCondition","OK","Sample condition OK",2012-01-01,NA
"sls.geneticSampleCondition","other","Other",2012-01-01,NA
"sls.horizon","O","Soil core collected from the organic horizon",2012-01-01,NA
"sls.horizon","M","Soil core collected from the mineral horizon",2012-01-01,NA
"sls.horizonDetails","OK","OK, no inconsistencies",2012-01-01,NA
"sls.horizonDetails","Thin O horizon present","Thin O horizon present",2012-01-01,NA
"sls.horizonDetails","Thin M horizon present","Thin M horizon present",2012-01-01,NA
"sls.horizonDetails","Horizon indeterminate","Soil horizon was mis-classified or could not be accurately classified in the field",2012-01-01,NA
"sls.horizonDetails","Water table encountered","Water table was encountered when sampling horizon",2012-01-01,NA
"sls.horizonDetails","Mature biological soil crust present","Mature biological soil crust was present and homogenized in to the soil sample",2012-01-01,NA
"sls.horizonDetails","Woody horizon","Horizon contains a large amount of decayed woody material",2012-01-01,NA
"sls.horizonDetails","other","Horizon not fitting Protocol definitions due to other reason described in the remarks",2012-01-01,NA
"sls.incubationCondition","OK","Incubation condition as expected, no issues to report",2012-01-01,NA
"sls.incubationCondition","cap missing","Cap was removed and core found uncovered",2012-01-01,NA
"sls.incubationCondition","disturbed by animal, sitting on surface","Core or bag was distrubed by an animal and moved from in-situ location to soil surface",2012-01-01,NA
"sls.incubationCondition","other","Other, with details explained in remarks",2012-01-01,NA
"sls.incubationCondition","borehole had water","Water was present in the borehole when cylinder was removed",2017-01-01,NA
"sls.incubationCondition","buried bag had water","Buried bag contained excess water upon retrieval, suggesting leak or bad seal",2017-01-01,NA
"sls.incubationCondition","animal chewed hole in bag","Animal or insect chewed a small hole in the bag",2017-01-01,NA
"sls.incubationCondition","incomplete sample recovery","Incomplete soil material recovered, most common when soil falls out of the core upon retrieval",2017-01-01,NA
"sls.incubationCondition","sample destroyed, not saved","Sample destroyed during incubation, not saved or processed",2017-01-01,NA
"sls.incubationCondition","sample not found","Sample not found following incubation",2017-01-01,NA
"sls.incubationCondition","sample colonized by insects, not saved","Incubating sample was heavily colonized by insects, sample not saved",2022-01-01,NA
"sls.incubationCondition","sample had moderate insect activity","Incubating sample showed moderate insect activity, insects avoided and sample saved",2022-01-01,NA
"sls.incubationCondition","standing water on top of the core","PVC tube found with standing water on top of the soil core",2022-01-01,NA
"sls.incubationCondition","cap missing but replaced","Core found uncovered but cap replaced by staff visiting the plot",2022-01-01,NA
"sls.incubationMethod","no incubation","No incubation was conducted",2012-01-01,NA
"sls.incubationMethod","covered core","Sample incubation with covered core method",2012-01-01,NA
"sls.incubationMethod","buried bag","Sample incubation with buried bag method",2012-01-01,NA
"sls.moistureCondition","OK","sample condition OK",2012-01-01,NA
"sls.moistureCondition","tin spilled","tin spilled during processing, adds uncertainty to moisture value",2012-01-01,NA
"sls.moistureCondition","tin lost","tin lost during processing, no moisture data available",2012-01-01,NA
"sls.moistureCondition","used sieved soil","used sieved soil although protocol specifies unsieved, low impact to moisture values",2012-01-01,NA
"sls.moistureCondition","sampleID uncertain","possible sampleID mix-up, other potential sampleID is specified in remarks",2012-01-01,NA
"sls.moistureCondition","used frozen soil","used frozen soil due to lack of immediate access to drying oven",2012-01-01,NA
"sls.moistureCondition","other","other issue with more detail in remarks",2012-01-01,NA
"sls.nTransBout","tInitial","Collection of initial N transformation core",2012-01-01,NA
"sls.nTransBout","tFinal","Collection of incubated N transformation core",2012-01-01,NA
"sls.nTransBout","No","No N transformation sample collection",2012-01-01,NA
"sls.sampleCondition","oven temperature out of range","Oven temperature used for sample processing out of the acceptable range",2012-01-01,NA
"sls.sampleCondition","storage temperature out of range","Sample storage temperature out of the acceptable range",2012-01-01,NA
"sls.sampleCondition","OK","Sample condition OK",2012-01-01,NA
"sls.sampleExtent","entire","Sample represents the full extent of the sampled horizon",2012-01-01,NA
"sls.sampleExtent","obstruction","Sample extends to an obstruction such as a rock or large root",2012-01-01,NA
"sls.sampleExtent","maximum","Sample collected to the maximum depth defined in the protocol",2012-01-01,NA
"sls.sampleExtent","other","Other",2012-01-01,NA
"sls.sampleTiming","wetDryTransition","Transition from wet to dry season",2012-01-01,NA
"sls.sampleTiming","winterSpringTransition","Transition from winter to spring season",2012-01-01,NA
"sls.sampleTiming","peakGreenness","Summer/peak greenness sampling",2012-01-01,NA
"sls.sampleTiming","dryWetTransition","Transition from dry to wet season",2012-01-01,NA
"sls.sampleTiming","fallWinterTransition","Transition from fall to winter season",2012-01-01,NA
"sls.sampleTiming","drySeason","Dry season",2012-01-01,NA
"sls.sampleTiming","other","Season not represented in options list",2012-01-01,NA
"sls.samplingProtocolVersion","NEON.DOC.014048vC","NEON.DOC.014048vC",2012-01-01,NA
"sls.samplingProtocolVersion","NEON.DOC.014048vD","NEON.DOC.014048vD",2012-01-01,NA
"sls.samplingProtocolVersion","NEON.DOC.014048vE","NEON.DOC.014048vE",2012-01-01,NA
"sls.samplingProtocolVersion","NEON.DOC.014048vF","NEON.DOC.014048vF",2012-01-01,NA
"sls.samplingProtocolVersion","NEON.DOC.014048vG","NEON.DOC.014048vG",2012-01-01,NA
"sls.samplingProtocolVersion","NEON.DOC.014048vB","NEON.DOC.014048vB",2012-01-01,NA
"sls.samplingProtocolVersion","NEON.DOC.014048vH","NEON.DOC.014048vH",2012-01-01,NA
"sls.samplingProtocolVersion","NEON.DOC.014048vJ","NEON.DOC.014048vJ",2012-01-01,NA
"sls.samplingProtocolVersion","NEON.DOC.014048vK","NEON.DOC.014048vK",2012-01-01,NA
"sls.samplingProtocolVersion","NEON.DOC.004130vA","NEON.DOC.004130vA",2012-01-01,NA
"sls.samplingProtocolVersion","NEON.DOC.004130vC","NEON.DOC.004130vC",2012-01-01,NA
"sls.samplingProtocolVersion","NEON.DOC.014048vL","NEON.DOC.014048vL",2019-01-01,NA
"sls.samplingProtocolVersion","NEON.DOC.004130vD","NEON.DOC.004130vD",2019-01-01,NA
"sls.samplingProtocolVersion","NEON.DOC.014048vM","NEON.DOC.014048vM",2019-01-01,NA
"sls.samplingProtocolVersion","NEON.DOC.004130vE","NEON.DOC.004130vE",2019-01-01,NA
"sls.samplingProtocolVersion","NEON.DOC.014048vN","NEON.DOC.014048vN",2019-01-01,NA
"sls.samplingProtocolVersion","NEON.DOC.014048vO","NEON.DOC.014048vO",2022-01-01,NA
"sls.samplingProtocolVersion","NEON.DOC.014048vP","NEON.DOC.014048vP",2024-01-01,NA
"sls.samplingProtocolVersion","NEON.DOC.004130vF","NEON.DOC.004130vF",2024-01-01,NA
"sls.soilSamplingDevice","auger","Soil auger used to obtain the sample",2012-01-01,NA
"sls.soilSamplingDevice","probe","Soil probe used to obtain the sample",2012-01-01,NA
"sls.soilSamplingDevice","corer","Soil corer used to obtain the sample",2012-01-01,NA
"sls.soilSamplingDevice","trowel","Trowel used to obtain the sample",2012-01-01,NA
"sls.soilSamplingDevice","bulb corer","Bulb corer auger used to obtain the sample",2012-01-01,NA
"sls.soilSamplingDevice","brownie cutter","10 cm square frame",2012-01-01,NA
"sls.soilSamplingDevice","sediment sampler","coring device specifically designed for sampling sediment",2012-01-01,NA
"sls.soilSamplingDevice","PVC tube","PVC tube",2012-01-01,NA
"sls.soilSamplingDevice","other","Other device used to obtain the sample",2012-01-01,NA
"sls.subplotID","21_400","Subplot named according to pointID of the southwest corner",2012-11-01,NA
"sls.subplotID","23_400","Subplot named according to pointID of the southwest corner",2012-11-01,NA
"sls.subplotID","39_400","Subplot named according to pointID of the southwest corner",2012-11-01,NA
"sls.subplotID","41_400","Subplot named according to pointID of the southwest corner",2012-11-01,NA
"vst.bandCondition","ok","Dendrometer band in good condition",2019-01-01,NA
"vst.bandCondition","reset","Dendrometer band undamaged but location has shifted, gap measured prior to resetting",2019-01-01,NA
"vst.bandCondition","replaced","Dendrometer band damaged, no measurement possible, band replaced",2019-01-01,NA
"vst.bandCondition","measuredAndReplaced","Dendrometer band damaged, lower quality measurement made, band replaced",2019-01-01,NA
"vst.canopyPosition","Open grown","Full sun, not touching other plants, with crowns that have received full light from above and from all sides throughout most of its life, particularly during its early developmental period",2012-01-01,NA
"vst.canopyPosition","Full sun","Crown receiving full light from above and partly from the sides. Their crown form or shape appears to be free of influence from neighboring plants",2012-01-01,NA
"vst.canopyPosition","Partially shaded","Crown receive full light from above but little direct sunlight penetrates their sides",2012-01-01,NA
"vst.canopyPosition","Mostly shaded","Individuals that receive little direct light from above and none from the sides",2012-01-01,NA
"vst.canopyPosition","Full shade","Individuals that receive no direct sunlight either from above or the sides",2012-01-01,NA
"vst.changedMeasurementLocation","noChange","measurement location is consistent with previous measurement location",2020-01-01,NA
"vst.changedMeasurementLocation","deformityGrowth","growth of a deformity compromises past measurement location",2020-01-01,NA
"vst.changedMeasurementLocation","branchGrowth","growth of a branch compromises past measurement location",2020-01-01,NA
"vst.changedMeasurementLocation","damage","localized damage compromises past measurement location",2020-01-01,NA
"vst.changedMeasurementLocation","newRootingPoint","the measurement location is shifted relative to a new rooting point",2020-01-01,NA
"vst.changedMeasurementLocation","boleChange","a different emergent bole is selected for measurement",2020-01-01,NA
"vst.changedMeasurementLocation","protocolChange","measurement requirements changed between protocol versions",2020-01-01,NA
"vst.dataCollected","allGrowthForms","All qualifying growth forms measured",2019-01-01,NA
"vst.dataCollected","dendrometerOnly","Only stems with dendrometer bands measured",2019-01-01,NA
"vst.dataCollected","partial","Scheduled sampling partially completed. This is a protocol deviation and should occur infrequently.",2018-01-01,NA
"vst.eventType","towerSubset","Subset of plots measured for productivity analyses",2019-01-01,NA
"vst.eventType","distributedAndTowerSubset","All Distributed plots and a subset of Tower plots measured",2019-01-01,NA
"vst.eventType","allTowerPlots","All Tower plots measured",2019-01-01,NA
"vst.eventType","distributedOnly","Only Distributed plots measured",2020-01-01,NA
"vst.growthForm","single bole tree","Tree with single primary supporting stem",2012-01-01,NA
"vst.growthForm","multi-bole tree","Tree with multiple primary supporting stems",2012-01-01,NA
"vst.growthForm","small tree","Tree with diameter between 1 and 10 cm. and height > 130 centimeters",2012-01-01,NA
"vst.growthForm","sapling","Young tree with diameter < 1 cm at 10cm along the stem",2012-01-01,NA
"vst.growthForm","liana","Non self-supporting woody plant",2012-01-01,NA
"vst.growthForm","single shrub","A self-supporting individual, typically with multiple primary stems, at least one of which has a diameter > 1 centimeter at 130 centimeters high",2012-01-01,NA
"vst.growthForm","small shrub","A self-supporting individual, typically with multiple primary stems, at least one of which has a diameter > 1 centimeter at 10 centimeters high",2012-01-01,NA
"vst.growthForm","fern","Spore bearing vascular species with frond length >30 centimeters, excluding tree ferns",2012-01-01,NA
"vst.growthForm","cactus","Any member of the family Cactaceae",2012-01-01,NA
"vst.growthForm","yucca","Yucca, agave and other non-woody, basal rosette subshrubs",2012-01-01,NA
"vst.growthForm","xerophyllum","Any member of the genus Xerophyllum",2012-01-01,NA
"vst.growthForm","palm","Any member of the family Arecaceae",2012-01-01,2023-04-01
"vst.growthForm","ocotillo","Foquieria splendens and all associated subspecies",2012-01-01,NA
"vst.growthForm","tree fern","Large palmlike ferns with a trunklike stem bearing a crown of large fronds (e.g. Cibotium spp. and Sadleria spp.)",2018-01-01,2023-04-01
"vst.growthForm","palm tree","Member of the family Arecaceae with DBH > 10 cm AND stem length > 130",2012-01-01,NA
"vst.growthForm","small palm","Member of the family Arecaceae with DBH < 10 cm or stem length < 130",2012-01-01,NA
"vst.growthForm","large tree fern","Large palmlike ferns with a trunklike stem bearing a crown of large fronds (e.g. Cibotium spp. and Sadleria spp.) with DBH > 10 cm AND stem length > 130 cm",2018-01-01,NA
"vst.growthForm","small tree fern","Large palmlike ferns with a trunklike stem bearing a crown of large fronds (e.g. Cibotium spp. and Sadleria spp.) with DBH < 10 cm OR stem length < 130 cm",2018-01-01,NA
"vst.nestedSubplotArea","1","Data collected within 1 m2 sampling areas",2012-01-01,NA
"vst.nestedSubplotArea","3","Data collected within 3 m2 sampling areas",2012-01-01,NA
"vst.nestedSubplotArea","10","Data collected within 10 m2 sampling areas",2012-01-01,NA
"vst.nestedSubplotArea","25","Data collected within 25 m2 sampling areas",2012-01-01,NA
"vst.nestedSubplotArea","50","Data collected within 50 m2 sampling areas",2022-01-01,NA
"vst.nestedSubplotArea","100","Data collected within 100 m2 sampling areas",2012-01-01,NA
"vst.nestedSubplotArea","noneSelected","No nested subplot area defined, data are collected within the entire subplot",2012-01-01,NA
"vst.nestedSubplotArea","unknown","Nested subplot area not recorded actual sampling area is not known for certain.",2012-01-01,NA
"vst.nestedSubplotArea","notAssessed","Vegetation type not considered for the specified event type",2019-01-01,NA
"vst.plantStatus","Live","Any live, undamaged individual  (new, re-measured or ingrowth)",2012-01-01,NA
"vst.plantStatus","Standing dead","Standing dead tree or standing dead bole within a multi-bole tree, regardless of cause of death. The entire tree or bole must be dead, and the main bole is NOT broken",2012-01-01,NA
"vst.plantStatus","Removed","An individual that has been cut and removed by direct human activity related to harvesting, silviculture or land clearing (re-measurement plots only)",2012-01-01,NA
"vst.plantStatus","Live, insect damaged","Visible damage caused by insects; note 'crown' or 'bole' damage in remarks, and indicate type of insect causing damage if possible (e.g., mountain pine beetle, gypsy moth, etc.)",2012-01-01,NA
"vst.plantStatus","Live, disease damaged","Visible damage cause by disease; note 'crown' or 'bole' damage in remarks, and indicate type of disease causing damage if possible (e.g., Blister Rust, rot, canker, other (specify), unknown",2012-01-01,NA
"vst.plantStatus","Live, physically damaged","Visible damage not caused by disease or insects; note 'crown' or 'bole' damage in remarks, and indicate type of physical damage if possible (e.g., broken stem, bole scar, girdling, snow/ice damage, crushed, lightning, crown scorch, bole scorch)",2012-01-01,NA
"vst.plantStatus","Live,  other damage","Visible damage of unknown origin; note 'crown' or 'bole' damage in remarks, and note cause if possible",2012-01-01,NA
"vst.plantStatus","No longer qualifies","Individual is still alive and may qualify in the future, but does not currently qualify. Reason noted in remarks (e.g., consumption of qualifying boles / stems by fire, blow-down of qualifying boles / stems, etc.)",2012-01-01,NA
"vst.plantStatus","Live, broken bole","Tree with broken spike top, tree with broken main bole and ascending leaders, tree broken and dead at top but live below",2012-01-01,NA
"vst.plantStatus","Dead, broken bole","All parts of the broken tree are dead; may have broken spike top, or dead leaders ascending beyond the break point. Indicate factors associated with death and the source of damage in order of importance in the remarks field",2012-01-01,NA
"vst.plantStatus","Lost, burned","A previously measured individual that is not measured in the current bout because the plot has been burned and the individual could not be located for remeasurement",2012-01-01,NA
"vst.plantStatus","Lost, herbivory","A previously measured individual that is not measured in the current bout because the individual could not be located for remeasurement. Cause of loss is presumed to be herbivory",2012-01-01,NA
"vst.plantStatus","Lost, presumed dead","A previously measured individual that is not measured in the current bout because the individual could not be located for remeasurement, the individual is presumed dead based on evidence within the plot. Note in remarks reason (i.e. blowdown event)",2012-01-01,NA
"vst.plantStatus","Lost, tag damaged","A previously measured individual that is not measured in the current bout due to inability to re-locate because of widespread damage to tags within a plot",2012-01-01,2018-11-01
"vst.plantStatus","Lost, fate unknown","A previously measured individual that is not measured in the current bout note because the individual could not be relocated",2012-01-01,NA
"vst.plantStatus","Downed","Part or all of a dead tree is down, and in contact with the ground. Percent of the bole in direct contact with the ground recorded in remarks",2012-01-01,NA
"vst.recordType","map and tag","Permanently tagged individual with taxonomic data, general location and within plot relative position mapping",2012-01-01,NA
"vst.recordType","tag only","Permanently tagged individual with taxonomic data and general location (e.g. plot, subplot)",2012-01-01,NA
"vst.recordType","temporary","Temporary tag for an individual that is not tracked through time; contains taxonomic and general location data",2012-01-01,NA
"vst.recordType","band","Permanently tagged individual with taxonomic data, relative mapping and dendrometer band installed",2019-08-01,NA
"vst.samplingProtocolVersion","NEON.DOC.000987vA","Data collected according to protocol version A",2012-01-01,NA
"vst.samplingProtocolVersion","NEON.DOC.000987vB","Data collected according to protocol version B",2012-01-01,NA
"vst.samplingProtocolVersion","NEON.DOC.000987vC","Data collected according to protocol version C",2012-01-01,NA
"vst.samplingProtocolVersion","NEON.DOC.000987vD","Data collected according to protocol version D",2012-01-01,NA
"vst.samplingProtocolVersion","NEON.DOC.000987vE","Data collected according to protocol version E",2012-01-01,NA
"vst.samplingProtocolVersion","NEON.DOC.000987vF","Data collected according to protocol version F",2012-01-01,NA
"vst.samplingProtocolVersion","NEON.DOC.000987vG","Data collected according to protocol version G",2012-01-01,NA
"vst.samplingProtocolVersion","NEON.DOC.000987vH","Data collected according to protocol version H",2012-01-01,NA
"vst.samplingProtocolVersion","NEON.DOC.000987vJ","Data collected according to protocol version J",2019-01-01,NA
"vst.samplingProtocolVersion","NEON.DOC.000987vK","Data collected according to protocol version K",2022-01-01,NA
"vst.samplingProtocolVersion","NEON.DOC.000987vM","Data collected according to protocol version M",2023-01-01,NA
"vst.shape","half-sphere","half-sphere",2012-01-01,NA
"vst.shape","oblate half-sphere","oblate half-sphere",2012-01-01,NA
"vst.shape","cone","cone",2012-01-01,NA
"vst.shape","inverted cone","inverted cone",2012-01-01,NA
"vst.shape","cylinder","cylinder",2012-01-01,NA
"vst.shape","ellipsoid or sphere","ellipsoid or sphere",2012-01-01,NA
"vst.shape","vine","vine",2012-01-01,NA
"vst.shape","columnar","columnar",2012-01-01,NA
"vst.shape","pad","Pad forming growth pattern (e.g. Opuntia spp.)",2012-01-01,NA
"vst.subplot","21_100","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","21_400","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","23_400","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","24_100","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","31_100","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","31_400","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","32_100","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","33_100","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","39_100","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","39_400","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","40_100","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","41_100","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","41_400","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","48_100","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","51_100","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","21_1_1","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","21_10_1","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","21_25_1","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","21_3_1","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","21_50_1","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","24_1_2","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","24_10_2","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","24_25_2","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","24_3_2","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","24_50_2","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","31_1_1","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","31_1_4","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","31_10_1","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","31_10_4","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","31_25_1","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","31_25_4","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","31_3_1","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","31_3_4","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","31_50_4","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","32_1_2","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","32_1_4","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","32_10_2","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","32_10_4","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","32_25_2","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","32_25_4","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","32_3_2","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","32_3_4","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","33_1_4","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","33_10_4","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","33_25_4","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","33_3_4","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","33_50_4","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","39_1_1","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","39_10_1","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","39_25_1","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","39_3_1","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","39_50_1","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","40_1_1","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","40_1_3","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","40_10_1","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","40_10_3","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","40_25_1","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","40_25_3","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","40_3_1","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","40_3_3","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","41_1_1","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","41_1_4","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","41_10_1","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","41_10_4","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","41_25_1","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","41_25_4","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","41_3_1","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","41_3_4","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","41_50_1","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","48_1_3","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","48_10_3","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","48_25_3","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","48_3_3","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","48_50_3","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","51_1_4","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","51_10_4","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","51_25_4","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","51_3_4","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","51_50_4","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","41_25_unknown","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","unknown_100_unknown","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","unknown_400","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","21_10_unknown","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","41_10_unknown","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","23_10_unknown","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","unknown_10_unknown","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","unknown_25_unknown","Subplot named according to pointID of the southwest corner",2012-01-01,NA
"vst.subplot","23_25_unknown","Subplot named according to pointID of the southwest corner",2012-01-01,NA
